WRN 2026-09-15T09:46:07.758 ui.646137  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-15T09:46:07.758 ui.646137  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-15T09:46:07.758 ui.646137  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-15T09:46:07.758 ui.646137  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-15T09:46:07.758 ui.646137  tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-09-15T09:47:13.391 ui.648550  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-15T09:47:13.391 ui.648550  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-15T09:47:13.391 ui.648550  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-15T09:47:13.391 ui.648550  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-15T09:47:13.391 ui.648550  tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-09-15T09:48:17.381 ui.650879  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-15T09:48:17.381 ui.650879  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-15T09:48:17.381 ui.650879  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-15T09:48:17.381 ui.650879  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-15T09:48:17.381 ui.650879  tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-09-15T09:48:40.361 ui.651683  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-15T09:48:40.361 ui.651683  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-15T09:48:40.361 ui.651683  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-15T09:48:40.361 ui.651683  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-15T09:48:40.361 ui.651683  tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-09-15T09:49:19.944 ui.653189  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-15T09:49:19.944 ui.653189  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-15T09:49:19.944 ui.653189  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-15T09:49:19.944 ui.653189  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-15T09:49:19.944 ui.653189  tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-09-15T10:03:10.678 ui.682667  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-15T10:03:10.678 ui.682667  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-15T10:03:10.678 ui.682667  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-15T10:03:10.678 ui.682667  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-15T10:03:10.678 ui.682667  tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-09-15T10:03:49.191 ui.684008  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-15T10:03:49.191 ui.684008  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-15T10:03:49.191 ui.684008  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-15T10:03:49.191 ui.684008  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
